,ev_city,ev_country,ev_state,latitude,longitude
3443,ANACORTES      ,USA,WA,48.51260449999999,-122.6126718
3460,Menorca,SP,,-23.9868771,-46.2027106
3468,AUBENAS,FR,,44.620909,4.389863
3474,CLE ELUM       ,USA,WA,47.1953976,-120.939249
3545,Madeira Islands,PO,,32.76070740000001,-16.9594723
3549,LITTLE ROCK    ,USA,AR,34.7464809,-92.28959479999999
3550,SPARKS         ,USA,NV,39.5349112,-119.7526886
3560,Sukabumi,ID,,-6.9277361,106.9299579
3577,Kelowna,CA,,49.8879519,-119.4960106
3589,MORRISVILLE    ,USA,NC,35.823483,-78.8255621
3623,ELKRIDGE       ,USA,MD,39.21260729999999,-76.71358140000001
3625,MCALESTER      ,USA,OK,34.9334298,-95.76971309999999
3636,Norfolk,UK,,52.6139686,0.8864021
3637,McClure Strait,CA,,74.7,-117
3648,GULF OF MEXICO ,,GM,,
3668,WILMINGTON     ,USA,NC,34.2257255,-77.9447102
3681,Frankfurt,GE,,38.1305349,-84.848732
3711,BINGHAMTON     ,USA,NY,42.09868669999999,-75.91797380000001
3717,COLO SPRINGS   ,USA,CO,38.8338816,-104.8213634
3793,ORLANDO        ,USA,FL,28.5383355,-81.3792365
3800,Rendsburg-Schac,GE,,54.3080869,9.660699300000001
3818,KAFOUTINE,SG,,,
3825,QUINHAGAK      ,USA,AK,59.7488889,-161.9158333
3841,COEUR D'ALENE  ,USA,ID,47.6776832,-116.7804664
3843,MAUNALOA       ,USA,HI,21.1358333,-157.2163889
3847,int'l waters,,,28.0253649,-82.530491
3851,COMOX LAKE     ,CA,,49.61876179999999,-125.1657626
3869,BRADLEY LAKE   ,USA,AK,59.7463963,-150.7979206
3875,MONROE         ,USA,LA,32.5093109,-92.1193012
3921,Lake Vossemeer,NL,,52.5716975,5.8264982
3950,CHARLESTON     ,USA,WV,38.3498195,-81.6326234
3961,TOK            ,USA,AK,63.3366667,-142.9855556
3969,WANAKA         ,NZ,,-44.7031813,169.1320981
4016,LINDEN         ,USA,NJ,40.6220478,-74.24459019999999
4036,KASIGLUK       ,USA,AK,60.89555559999999,-162.5180556
4043,NEACON         ,NU,,41.5048158,-73.9695832
4092,SANTA CRUZ     ,BL,,30.5514691,-87.1017011
4126,NOME           ,USA,AK,64.5011111,-165.4063889
4130,ABERDEEN       ,USA,SD,45.4646985,-98.4864829
4141,NO.MYRTLE BEACH,USA,SC,33.8160058,-78.680016
4189,TOMBALL        ,USA,TX,30.0971621,-95.6160549
4192,CASCADE        ,USA,ID,44.51628210000001,-116.0417983
4193,KENNSINGTON    ,USA,AK,64.7530435,-147.2481712
4232,PUEBLO         ,USA,CO,38.2544472,-104.6091409
4234,Queensland,AS,,10.3082904,123.9014912
4248,NUEVO LEON     ,MX,,25.592172,-99.99619469999999
4262,MAPLETON       ,USA,ME,46.6818041,-68.1616248
4283,LONDON         ,UK,,51.5073509,-0.1277583
4296,JACKSONVILLE   ,USA,FL,30.3321838,-81.65565099999999
4297,Jakarta,ID,,-6.2087634,106.845599
4344,ELLENDALE      ,USA,MN,43.87273829999999,-93.3013213
4366,KOTZEBUE       ,USA,AK,66.89833329999999,-162.5966666
4400,RANGALI,MV,,3.6152964,72.71821349999999
4416,DURANGO        ,USA,CO,37.27528,-107.8800667
4427,KENOSHA        ,USA,WI,42.5847425,-87.82118539999999
4461,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
4470,San Juan,AR,,-31.5351074,-68.5385941
4490,WARREN         ,USA,MI,42.5144566,-83.01465259999999
4491,MAYAGUEZ       ,,PR,18.2013463,-67.1451517
4497,Bogota,CO,,4.710988599999999,-74.072092
4500,SHENZHEN       ,CH,,30.98635,112.1898811
