,ev_city,ev_country,ev_state,latitude,longitude
6359,KASIGLUK       ,USA,AK,,
6364,CORDOBA        ,AR,,,
6367,GOLETA         ,USA,CA,,
6378,MANAMA         ,BA,,,
6416,GEORGETOWN     ,USA,TX,,
6443,JEREMIE        ,HA,,,
6513,HAINES         ,USA,AK,,
6554,ANCHORAGE      ,USA,AK,,
6567,VENICE         ,USA,LA,,
6568,NOME           ,USA,AK,,
6592,Manaus,BR,,,
6602,BROWNSVILLE    ,USA,TN,,
6606,REIMS,FR,,,
6612,London,UK,,,
6634,Kidlington,UK,,,
6648,GLENNALLEN     ,USA,AK,,
6662,SITKA          ,USA,AK,,
6663,BURNETT INLET  ,USA,AK,,
6672,PARADISE       ,USA,CA,,
6685,Guatemala,GT,,,
6727,"TAU, MANU'A    ",USA,HI,,
6728,Greeley,USA,CO,,
6738,BELL MOUNTAIN  ,USA,AK,,
6743,ZURICH,SZ,,,
6764,GARDEN BANKS   ,,GM,,
6785,UTICA          ,USA,NY,,
6787,ELEELE KAUAI   ,USA,HI,,
6793,ANDERSON       ,USA,IN,,
6799,HANCOCK        ,USA,MI,,
6807,ST. JOHNS      ,AC,,,
6811,"Slave Lake, Alberta",CA,,,
6817,CARACAS        ,VE,,,
6827,QUINHAGAK      ,USA,AK,,
6830,HUALIEN,TW,,,
6842,BAUDETTE       ,USA,MN,,
6854,Undrom,SW,,,
6877,Alcora,SP,,,
6915,EAST SAINT LOUI,USA,IL,,
6922,EUGENE ISLAND  ,,GM,,
6961,ROCKY MOUNT    ,USA,NC,,
6974,HOMER          ,USA,AK,,
6994,COVINGTON      ,USA,KY,,
7008,AGO-6,AY,,,
7009,FORT WAYNE,USA,IN,,
7015,ANTALYA        ,FR,,,
7028,WESTERLY       ,USA,RI,,
7031,POCATELLO      ,USA,ID,,
7035,NORFOLK        ,USA,VA,,
7041,MEMPHIS        ,USA,TN,,
7076,PINCKNEYVILLE  ,USA,IL,,
7084,KASIGLUK       ,USA,AK,,
7092,Kilmovee,EI,UN,,
7100,DEL CITY       ,USA,TX,,
7101,TALKEETNA      ,USA,AK,,
7126,San Rafael,SP,,,
7134,HIGH ISLAND BLK,,GM,,
7141,WALKER'S CAY   ,BF,,,
7149,BOISE          ,USA,ID,,
7151,CHIHUAHUA      ,MX,,,
7162,COLD BAY       ,USA,AK,,
7163,LONGWOOD       ,USA,FL,,
7183,NINILCHIK      ,USA,AK,,
7217,FLUSHING       ,USA,NY,,
7225,Malaga,CO,,,
7233,MIAMI          ,USA,FL,,
7248,QUINCY         ,USA,IL,,
7269,SPOKANE        ,USA,WA,,
7286,fredericton,CA,,,
7294,SEDONA         ,USA,AZ,,
7295,HILLIARD       ,USA,FL,,
7335,"Alcorsia, Teruel, Spain",SP,,,
7340,Harare,ZI,,,
7357,BETTLES        ,USA,AK,,
7378,GIBSON         ,USA,LA,,
7403,ILIAMNA        ,USA,AK,,
7421,Ciudad Carmen,MX,,,
7450,ATMAUTLUAK     ,USA,AK,,
7455,FREEPORT,BF,,,
7456,Indore ,IN,,,
7472,COLUMBUS       ,USA,OH,,
7497,BETHEL         ,USA,AK,,
7522,Gulf of Mexico,USA,,,
7534,HAYDEN         ,USA,CO,,
7559,MISSING ACFT,,AO,,
7568,Phoenix,USA,AZ,,
7592,Luxembourg,LU,,,
7599,San Juan,USA,PR,,
7600,NAKNEK         ,USA,AK,,
